"Date","id","County","Overall","Incidence_vs_Active","Deaths","Recovered","Active","Quarantine_inbound","Quarantine_contact","Contracted.health.services","Acvtive_DPS","Acvtive_ZOL","Work","Academy","School","Dormitories","Weddings","Hotels","Public_Transport","Others"
2020-10-14,9,"Myslenicki",1093,"85,66/40,28",4,575,514,0,259,45,27,0,86,21,0,0,2,0,0,653
2020-10-14,10,"Nowosadecki",1787,"82,43/17,44",36,1373,378,7,1107,104,64,1,341,54,0,0,20,1,0,88
2020-10-14,11,"Nowotarski",1432,"74,67/32,54",27,776,624,2,411,91,25,31,91,9,0,0,0,0,1,771
2020-10-14,12,"Olkuski",371,"33,36/16,99",3,179,189,4,16,9,4,1,67,19,0,0,2,0,0,249
2020-10-14,13,"Oswiecimski",671,"43,72/14,85",14,429,228,2,223,55,26,6,0,0,0,0,0,0,0,359
2020-10-14,14,"Proszowicki",119,"27,53/10,87",3,69,47,2,8,10,27,0,3,0,0,0,0,0,0,69
2020-10-14,15,"Suski",707,"83,93/34,90",8,404,294,2,189,24,69,7,79,24,0,0,19,0,0,294
2020-10-14,16,"Tarnowski",459,"22,78",9,303,146,6,206,14,56,0,21,0,0,0,0,0,0,156
2020-10-14,17,"Tatrzanski",703,"103,27/37,02",12,436,252,2,181,88,42,0,43,54,0,0,0,0,0,293
2020-10-14,18,"Wadowicki",735,"45,94/21,69",13,374,347,0,227,56,54,0,26,24,0,0,0,0,0,348
2020-10-14,19,"Wielicki",587,"45,46/19,44",8,326,251,1,254,11,0,0,7,2,0,0,2,0,0,310
2020-10-14,20,"M.kraków",4682,"60,09/21,96",44,2926,1711,33,462,227,90,17,60,13,0,36,34,32,0,3678
2020-10-14,21,"M.nowysacz",706,"84,25/18,02",18,537,151,3,387,45,106,0,134,13,0,0,7,1,0,10
2020-10-14,22,"M.tarnów",234,"21,57/12,26",1,100,133,8,60,17,0,0,15,0,0,0,0,0,0,134
2020-10-15,1,"Bochenski",644,"60,27/14,41",32,450,154,3,148,34,240,0,13,23,0,0,31,0,0,152
2020-10-15,2,"Brzeski",276,"29,61/10,51",3,173,98,3,37,66,13,2,2,0,0,0,0,21,0,132
2020-10-15,3,"Chrzanowski",335,"26,90/16,14",8,126,201,1,40,26,25,2,16,4,0,0,8,0,0,213
2020-10-15,4,"Dabrowski",124,"20,96",4,65,55,2,52,6,0,0,2,0,0,0,0,0,0,62
2020-10-15,5,"Gorlicki",341,"31,32/15,06",3,171,164,2,100,60,0,0,0,10,0,0,20,0,0,149
2020-10-15,6,"Krakowski",1207,"43,22/15,86",8,756,443,6,167,46,15,0,13,4,0,0,2,4,0,950
2020-10-15,7,"Limanowski",1154,"87,58/26,33",13,793,347,0,378,78,39,0,0,12,0,0,0,0,1,646
2020-10-15,8,"Miechowski",318,"65,14/45,48",1,95,222,0,49,0,105,0,23,0,0,0,0,0,0,141
2020-10-15,9,"Myslenicki",1145,"89,73/34,17",4,705,436,0,260,46,27,0,86,21,0,0,2,0,0,703
2020-10-15,10,"Nowosadecki",1833,"84,55/19,51",37,1373,423,7,1137,107,64,1,349,59,0,0,20,1,0,88
2020-10-15,11,"Nowotarski",1486,"77,48/33,74",27,802,647,2,415,92,25,31,96,10,0,0,0,0,1,814
2020-10-15,12,"Olkuski",391,"35,16/18,43",3,183,205,4,16,9,4,1,71,19,0,0,2,0,0,265
2020-10-15,13,"Oswiecimski",701,"45,67/16,22",16,436,249,2,224,55,27,6,0,0,0,0,0,0,0,387
2020-10-15,14,"Proszowicki",127,"29,38/12,49",4,69,54,2,8,10,27,0,3,0,0,0,0,0,0,77
2020-10-15,15,"Suski",749,"88,92/37,63",9,422,317,2,195,25,69,7,79,29,0,0,19,0,0,324
2020-10-15,16,"Tarnowski",485,"24,07",9,303,172,6,213,14,68,0,21,0,0,0,0,0,0,163
2020-10-15,17,"Tatrzanski",754,"110,77/44,51",12,436,303,2,181,94,42,0,47,63,0,0,0,0,0,325
2020-10-15,18,"Wadowicki",778,"48,62/24,00",14,379,384,0,227,58,54,0,26,28,0,0,0,0,0,385
2020-10-15,19,"Wielicki",632,"48,94/22,61",8,330,292,1,254,11,0,0,7,2,0,0,5,0,0,352
2020-10-15,20,"M.kraków",5222,"67,02/27,79",45,3011,2165,33,462,232,90,17,60,13,0,36,34,32,0,4213
2020-10-15,21,"M.nowysacz",749,"89,39/22,91",20,537,192,3,419,47,106,0,139,16,1,0,7,1,0,10
2020-10-15,22,"M.tarnów",265,"24,43/15,12",1,100,164,8,71,17,0,0,21,0,0,0,0,0,0,148
2020-10-16,1,"Bochenski",692,"64,76/18,62",32,453,199,3,153,36,240,0,13,24,0,0,31,0,0,192
2020-10-16,2,"Brzeski",285,"30,58/10,94",3,178,102,3,37,66,13,2,2,0,0,0,0,21,0,141
2020-10-16,3,"Chrzanowski",354,"28,43/17,02",8,134,212,1,40,26,25,2,16,4,0,0,8,0,0,232
2020-10-16,4,"Dabrowski",136,"22,98/11,15",4,66,66,2,53,6,0,0,2,0,0,0,0,0,0,73
2020-10-16,5,"Gorlicki",361,"33,15/16,81",3,171,183,2,106,63,0,0,0,13,0,0,20,0,0,157
2020-10-16,6,"Krakowski",1298,"46,48/16,37",10,831,457,6,167,46,15,0,13,4,0,0,2,4,0,1041
2020-10-16,7,"Limanowski",1238,"93,96/32,03",14,801,422,0,388,78,39,0,4,12,0,0,0,0,1,716
2020-10-16,8,"Miechowski",331,"67,80/47,73",3,95,233,0,49,0,105,0,23,0,0,0,0,0,0,154
2020-10-16,9,"Myslenicki",1225,"96,00/40,44",4,705,516,0,263,56,42,0,91,21,0,0,2,0,0,750
2020-10-16,10,"Nowosadecki",1891,"87,22/22,00",41,1373,477,7,1189,108,64,1,352,60,0,0,20,1,0,89
2020-10-16,11,"Nowotarski",1560,"81,34/36,03",27,828,691,2,420,106,25,43,98,10,0,0,0,0,1,855
2020-10-16,12,"Olkuski",431,"38,75/21,04",3,194,234,4,16,25,4,1,71,19,0,0,2,0,0,289
2020-10-16,13,"Oswiecimski",723,"47,11/16,61",20,448,255,2,224,55,27,7,0,0,0,0,0,0,0,408
2020-10-16,14,"Proszowicki",151,"34,94/17,82",4,70,77,2,8,11,27,0,3,0,0,0,0,0,0,100
2020-10-16,15,"Suski",796,"94,50/42,15",9,431,355,2,199,30,69,7,80,30,0,0,19,0,0,360
2020-10-16,16,"Tarnowski",512,"25,41",9,336,166,6,222,17,68,0,27,0,0,0,0,0,0,172
2020-10-16,17,"Tatrzanski",771,"113,26/42,90",15,460,292,2,181,98,42,0,47,69,0,0,0,0,0,332
2020-10-16,18,"Wadowicki",839,"52,44/27,75",15,379,444,0,227,60,54,0,26,31,0,0,0,0,0,441
2020-10-16,19,"Wielicki",676,"52,35/25,94",9,330,335,1,256,11,0,0,7,2,0,0,5,0,0,394
2020-10-16,20,"M.kraków",5484,"70,39/25,66",46,3438,1999,33,462,232,90,17,60,13,0,36,34,32,0,4475
2020-10-16,21,"M.nowysacz",770,"91,89/25,06",24,536,210,3,436,49,107,0,139,16,1,0,7,1,0,11
2020-10-16,22,"M.tarnów",297,"27,38/16,87",2,112,183,8,79,21,0,0,24,0,0,0,0,0,0,165
2020-10-17,1,"Bochenski",716,"67,00/20,68",32,455,221,3,154,36,240,0,13,24,0,0,31,0,0,215
2020-10-17,2,"Brzeski",308,"33,05/12,12",4,189,113,3,37,66,13,2,2,0,0,0,0,21,0,164
2020-10-17,3,"Chrzanowski",391,"31,40/19,67",8,138,245,1,40,26,25,2,16,4,0,0,8,0,0,269
2020-10-17,4,"Dabrowski",149,"25,18/12,84",4,69,76,2,55,6,0,0,3,0,0,0,0,0,0,83
2020-10-17,5,"Gorlicki",381,"34,99/18,00",3,178,196,2,111,68,0,0,0,13,0,0,20,0,0,167
2020-10-17,6,"Krakowski",1389,"49,74/17,40",10,893,486,6,167,46,15,0,13,4,0,0,2,4,0,1132
2020-10-17,7,"Limanowski",1298,"98,51/35,67",14,813,470,0,390,78,39,0,4,12,0,0,0,0,1,774
2020-10-17,8,"Miechowski",343,"70,26/48,55",6,100,237,0,50,0,105,0,23,0,0,0,0,0,0,165
